datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name
2025-01-01 00:02:43+08:00,2,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,Manila
2025-01-01 00:00:00+08:00,2,367.17,0,2.1,67.95,0.8,13.4,15.15,1.95,Alaminos
2025-01-01 00:00:03+08:00,2,594.14,0.05,11.82,11.44,2.12,14.98,19.22,4.02,Angeles City
2025-01-01 00:00:05+08:00,1,327.11,0,3.13,32.9,0.51,5.38,6.57,1.69,Antipolo
2025-01-01 00:00:06+08:00,1,208.62,0,1.15,37.91,2.74,3.25,3.49,0.25,Bacolod
2025-01-01 00:00:09+08:00,3,1588.82,11.4,50.72,0,30.52,46.08,69.62,9.63,Bacoor
2025-01-01 00:00:10+08:00,1,243.66,0,2.34,35.41,1.09,3.3,4.2,0.6,Bago City
2025-01-01 00:00:12+08:00,2,627.52,0.01,11.14,15.91,2.86,22.45,26.07,2.91,Baguio
2025-01-01 00:00:15+08:00,1,263.69,0,2.74,29.33,0.51,7.08,7.66,1.54,Bais
2025-01-01 00:00:17+08:00,1,343.8,0,5.44,33.62,2.33,5.04,9.77,1.6,Balanga
2025-01-01 00:00:19+08:00,2,247,0,0.74,78.68,0.25,4.79,6.1,0.31,Batac City
2025-01-01 00:00:22+08:00,1,357.15,0.08,15.42,14.48,7.03,6.48,10.29,3.33,Batangas City
2025-01-01 00:00:24+08:00,1,280.38,0,2.72,26.82,0.43,7.77,8.37,1.38,Bayawan
2025-01-01 00:00:25+08:00,1,216.96,0,0.56,42.92,8.58,3.37,3.86,0.03,Baybay
2025-01-01 00:00:27+08:00,1,277.04,0.35,5.44,0.34,1.27,6.8,7.82,3.04,Bayugan
2025-01-01 00:00:30+08:00,1,487.33,0.21,15.77,5.99,1.59,7.36,8.78,2.57,Bislig
2025-01-01 00:00:32+08:00,1,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,Bi̱an
2025-01-01 00:00:35+08:00,1,216.96,0,1.63,30.4,0.31,1.26,1.58,0.36,Bogo
2025-01-01 00:00:37+08:00,1,180.24,0.01,1.16,20.21,0.25,0.81,1.14,0.23,Borongan
2025-01-01 00:00:39+08:00,1,247,0,2.1,17.52,0.34,2.06,2.32,0.9,Butuan
2025-01-01 00:00:41+08:00,1,293.73,0,4.88,11.44,0.78,2.93,3.39,1.93,Cabadbaran
2025-01-01 00:00:42+08:00,1,427.25,0,8.14,31.47,1.43,8.27,10.71,3.61,Cabanatuan City
2025-01-01 00:00:44+08:00,1,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,Cabuyao
2025-01-01 00:00:45+08:00,1,206.95,0,0.88,40.05,0.36,1.91,2.37,0.27,Cadiz
2025-01-01 00:00:47+08:00,1,397.21,0,6.68,29.68,1.43,7.84,8.5,1.55,Cagayan de Oro
2025-01-01 00:00:50+08:00,1,260.35,0,5.83,32.54,3.79,2.58,5.45,1.33,Calaca
2025-01-01 00:00:51+08:00,1,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,Calamba
2025-01-01 00:00:53+08:00,1,223.64,0,9.43,34.33,7.87,3.38,4.43,0.04,Calapan
2025-01-01 00:00:55+08:00,1,198.6,0,0.86,21.28,3.7,1.87,2.04,0.25,Calbayog City
2025-01-01 00:00:57+08:00,2,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,Caloocan City
2025-01-01 00:00:59+08:00,2,413.9,0,3.43,18.77,0.81,14.56,15.75,3.39,Candon
2025-01-01 00:01:01+08:00,2,634.19,0.71,18.17,3.31,2.98,21.48,24.01,15.58,Canlaon
2025-01-01 00:01:04+08:00,1,293.73,0,5.01,29.33,2.83,7.74,10.98,3.83,Carcar
2025-01-01 00:01:05+08:00,1,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,Carmona
2025-01-01 00:01:07+08:00,1,208.62,0,1.21,21.82,0.72,1.79,2.05,0.82,Catbalogan
2025-01-01 00:01:09+08:00,1,373.84,0,3.77,32.9,0.41,9.74,10.96,4.24,Cauayan
2025-01-01 00:01:10+08:00,3,1588.82,11.4,50.72,0,30.52,46.08,69.62,9.63,Cavite City
2025-01-01 00:01:13+08:00,2,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,Cebu City
2025-01-01 00:01:14+08:00,3,1348.5,15.2,26.39,0.04,14.78,35.52,56.89,6.71,City of Marikina
2025-01-01 00:01:17+08:00,1,208.62,0,1.15,37.91,2.74,3.25,3.49,0.25,City of Masbate
2025-01-01 00:01:18+08:00,2,420.57,0.02,6.94,15.91,1.59,11.13,12.64,2.34,City of Passi
2025-01-01 00:01:20+08:00,1,213.62,0,0.86,37.91,3.13,2.3,2.63,0.48,City of Sorsogon
2025-01-01 00:01:22+08:00,2,453.95,0.14,4.88,2.03,0.66,12.98,14.02,3.1,Cotabato
2025-01-01 00:01:24+08:00,1,293.73,0,1.8,24.68,0.22,6.25,6.78,0.91,Dagupan
2025-01-01 00:01:25+08:00,2,247,0,5.91,33.62,3.67,10.71,11.55,1.3,Danao
2025-01-01 00:01:27+08:00,2,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,Dapitan
2025-01-01 00:01:29+08:00,1,377.18,0,16.79,27.18,17.41,6.75,11.24,2.69,Dasmari̱as
2025-01-01 00:01:31+08:00,1,407.22,3.8,6.86,0.11,1.91,6.86,9.11,3.01,Davao
2025-01-01 00:01:32+08:00,1,390.53,0.13,6.26,3.26,0.73,8.27,8.96,2.34,Digos
2025-01-01 00:01:34+08:00,1,196.93,0,1,30.4,0.34,0.66,0.74,0.44,Dipolog
2025-01-01 00:01:37+08:00,1,267.03,0,4.16,40.77,1.22,6.19,7.11,3.9,Dumaguete
2025-01-01 00:01:39+08:00,1,263.69,0,2.04,32.9,0.47,3.75,4.07,2,El Salvador
2025-01-01 00:01:41+08:00,1,206.95,0,1.3,36.84,0.32,1.34,1.82,0.2,Escalante
2025-01-01 00:01:43+08:00,2,834.47,0.32,20.05,8.32,3.28,22.33,32.15,11.27,Gapan
2025-01-01 00:01:46+08:00,2,487.33,0.05,5.27,6.44,0.62,14.67,15.45,2.69,General Santos
2025-01-01 00:01:47+08:00,1,377.18,0,16.79,27.18,17.41,6.75,11.24,2.69,General Trias
2025-01-01 00:01:50+08:00,1,206.95,0,1.65,28.25,0.14,0.67,0.76,0.34,Gingoog City
